   R    RHORP_B8  DRHORP_B8   RHORN_B8   DRHORN_B8
 10.85  0         0           0          0
 10.95  0         0           0          0
 11.05  0         0           0          0
 11.15  6.415E-8  6.415E-8   -1.476E-10  3.324E-10
 11.25  0         0           0          0
 11.35  5.74E-8   5.74E-8     4.31E-9    4.31E-9
 11.45  0         0           0          0
 11.55  5.817E-8  5.817E-8    1.495E-9   1.495E-9
 11.65  0         0           0          0
 11.75  0         0           0          0
 11.85  0         0           0          0
 11.95  1.06E-7   7.72E-8     5.4E-9     4.88E-9
 12.05  5.334E-8  5.334E-8    1.504E-9   1.504E-9
 12.15  0         0           0          0
 12.25  0         0           0          0
 12.35  0         0           0          0
 12.45  0         0           0          0
 12.55  0         0           0          0
 12.65  0         0           0          0
 12.75  0         0           0          0
 12.85  0         0           0          0
 12.95  0         0           0          0
 13.05  0         0           0          0
 13.15  0         0           0          0
 13.25  0         0           0          0
 13.35  0         0           0          0
 13.45  0         0           0          0
 13.55  0         0           0          0
 13.65  0         0           0          0
 13.75  0         0           0          0
 13.85  0         0           0          0
 13.95  0         0           0          0
 14.05  0         0           0          0
 14.15  0         0           0          0
 14.25  0         0           0          0
 14.35  0         0           0          0
 14.45  0         0           0          0
 14.55  0         0           0          0
 14.65  0         0           0          0
 14.75  0         0           0          0
 14.85  0         0           0          0
 14.95  0         0           0          0
 15.05  0         0           0          0
 15.15  0         0           0          0
 15.25  0         0           0          0
 15.35  0         0           0          0
 15.45  0         0           0          0
 15.55  0         0           0          0
 15.65  0         0           0          0
 15.75  0         0           0          0
 15.85  0         0           0          0
 15.95  0         0           0          0
 16.05  0         0           0          0
 16.15  0         0           0          0
 16.25  0         0           0          0
 16.35  0         0           0          0
 16.45  0         0           0          0
 16.55  0         0           0          0
 16.65  0         0           0          0
 16.75  0         0           0          0
 16.85  0         0           0          0
 16.95  0         0           0          0
 17.05  0         0           0          0
 17.15  0         0           0          0
 17.25  0         0           0          0
 17.35  0         0           0          0
 17.45  0         0           0          0
 17.55  0         0           0          0
 17.65  0         0           0          0
 17.75  0         0           0          0
 17.85  0         0           0          0
 17.95  0         0           0          0
 18.05  0         0           0          0
 18.15  0         0           0          0
 18.25  0         0           0          0
 18.35  0         0           0          0
 18.45  0         0           0          0
 18.55  0         0           0          0
 18.65  0         0           0          0
 18.75  0         0           0          0
 18.85  0         0           0          0
 18.95  0         0           0          0
 19.05  0         0           0          0
 19.15  0         0           0          0
 19.25  0         0           0          0
 19.35  0         0           0          0
 19.45  0         0           0          0
 19.55  0         0           0          0
 19.65  0         0           0          0
 19.75  0         0           0          0
 19.85  0         0           0          0
 19.95  0         0           0          0
 20.05  0         0           0          0
