   R     RHORPH    DRHORPH    RHORNH      DRHORNH
  9.85  1.979E-8  1.152E-8  4.7733E-9   2.8534E-9
  9.95  6.08E-9   6.08E-9   1.9595E-9   1.9595E-9
 10.05  2.74E-8   1.376E-8  4.1395E-9   2.2057E-9
 10.15  2.345E-8  1.188E-8  7.4348E-9   3.8945E-9
 10.25  0         0         0           0
 10.35  0         0         0           0
 10.45  1.067E-8  7.57E-9   3.9031E-9   2.7826E-9
 10.55  1.786E-8  1.037E-8  3.6342E-9   2.1403E-9
 10.65  1.082E-8  7.68E-9   3.2134E-9   2.3988E-9
 10.75  5.75E-9   5.75E-9   1.1391E-9   1.1391E-9
 10.85  1.172E-8  8.3E-9    1.7976E-9   1.4148E-9
 10.95  5.48E-9   5.48E-9   1.1629E-9   1.1629E-9
 11.05  0         0         0           0
 11.15  1.071E-8  7.59E-9   2.0926E-9   1.5489E-9
 11.25  4.94E-9   4.94E-9   1.348E-9    1.348E-9
 11.35  5.28E-9   5.28E-9   8.9919E-10  9.1481E-10
 11.45  0         0         0           0
 11.55  4.97E-9   4.97E-9   9.8787E-10  9.8813E-10
 11.65  0         0         0           0
 11.75  9.65E-9   6.83E-9   1.8767E-9   1.3894E-9
 11.85  0         0         0           0
 11.95  0         0         0           0
 12.05  4.98E-9   4.98E-9   4.9921E-10  4.9921E-10
 12.15  0         0         0           0
 12.25  0         0         0           0
 12.35  0         0         0           0
 12.45  0         0         0           0
 12.55  0         0         0           0
 12.65  0         0         0           0
 12.75  0         0         0           0
 12.85  0         0         0           0
 12.95  0         0         0           0
 13.05  0         0         0           0
 13.15  0         0         0           0
 13.25  0         0         0           0
 13.35  0         0         0           0
 13.45  0         0         0           0
 13.55  0         0         0           0
 13.65  0         0         0           0
 13.75  0         0         0           0
 13.85  0         0         0           0
 13.95  0         0         0           0
 14.05  0         0         0           0
 14.15  0         0         0           0
 14.25  0         0         0           0
 14.35  0         0         0           0
 14.45  0         0         0           0
 14.55  0         0         0           0
 14.65  0         0         0           0
 14.75  0         0         0           0
 14.85  0         0         0           0
 14.95  0         0         0           0
 15.05  0         0         0           0
 15.15  0         0         0           0
 15.25  0         0         0           0
 15.35  0         0         0           0
 15.45  0         0         0           0
 15.55  0         0         0           0
 15.65  0         0         0           0
 15.75  0         0         0           0
 15.85  0         0         0           0
 15.95  0         0         0           0
 16.05  0         0         0           0
 16.15  0         0         0           0
 16.25  0         0         0           0
 16.35  0         0         0           0
 16.45  0         0         0           0
 16.55  0         0         0           0
 16.65  0         0         0           0
 16.75  0         0         0           0
 16.85  0         0         0           0
 16.95  0         0         0           0
 17.05  0         0         0           0
 17.15  0         0         0           0
 17.25  0         0         0           0
 17.35  0         0         0           0
 17.45  0         0         0           0
 17.55  0         0         0           0
 17.65  0         0         0           0
 17.75  0         0         0           0
 17.85  0         0         0           0
 17.95  0         0         0           0
 18.05  0         0         0           0
 18.15  0         0         0           0
 18.25  0         0         0           0
 18.35  0         0         0           0
 18.45  0         0         0           0
 18.55  0         0         0           0
 18.65  0         0         0           0
 18.75  0         0         0           0
 18.85  0         0         0           0
 18.95  0         0         0           0
 19.05  0         0         0           0
 19.15  0         0         0           0
 19.25  0         0         0           0
 19.35  0         0         0           0
 19.45  0         0         0           0
 19.55  0         0         0           0
 19.65  0         0         0           0
 19.75  0         0         0           0
 19.85  0         0         0           0
 19.95  0         0         0           0
 20.05  0         0         0           0
