   R    RHORP_C9  DRHORP_C9   RHORN_C9  DRHORN_C9
  6.15  4.21E-5   3.24E-6    3.156E-6   2.961E-7
  6.25  3.52E-5   2.92E-6    2.752E-6   2.768E-7
  6.35  2.6E-5    2.47E-6    2.111E-6   2.507E-7
  6.45  2.45E-5   2.38E-6    1.817E-6   2.211E-7
  6.55  2.128E-5  2.176E-6   1.4313E-6  1.833E-7
  6.65  1.663E-5  1.892E-6   1.1418E-6  1.619E-7
  6.75  1.376E-5  1.709E-6   1.0878E-6  1.63E-7
  6.85  9.48E-6   1.387E-6   6.978E-7   1.342E-7
  6.95  8.37E-6   1.287E-6   4.869E-7   9.87E-8
  7.05  8.44E-6   1.272E-6   5.632E-7   9.93E-8
  7.15  5.24E-6   9.87E-7    3.996E-7   9.203E-8
  7.25  7.17E-6   1.14E-6    4.041E-7   7.546E-8
  7.35  6.53E-6   1.068E-6   4.678E-7   9.63E-8
  7.45  4.16E-6   8.42E-7    3.129E-7   7.699E-8
  7.55  2.64E-6   6.67E-7    1.4768E-7  4.432E-8
  7.65  3.54E-6   7.63E-7    2.003E-7   5.148E-8
  7.75  3.04E-6   6.86E-7    2.681E-7   7.069E-8
  7.85  1.966E-6  5.51E-7    1.3519E-7  4.61E-8
  7.95  2.064E-6  5.55E-7    1.4292E-7  4.439E-8
  8.05  1.583E-6  4.8E-7     1.0547E-7  3.694E-8
  8.15  1.646E-6  4.84E-7    1.5045E-7  5.163E-8
  8.25  1.108E-6  3.94E-7    6.112E-8   2.418E-8
  8.35  7.89E-7   3.27E-7    6.645E-8   3.353E-8
  8.45  6.64E-7   3.05E-7    3.243E-8   1.6207E-8
  8.55  3.7E-7    2.15E-7    3.79E-8    2.3436E-8
  8.65  1.014E-6  3.64E-7    5.002E-8   2.059E-8
  8.75  6.24E-7   2.82E-7    2.593E-8   1.287E-8
  8.85  1.243E-7  1.243E-7   2.749E-9   2.749E-9
  8.95  3.39E-7   1.978E-7   3.334E-8   2.195E-8
  9.05  7.04E-7   2.9E-7     2.389E-8   1.0858E-8
  9.15  1.124E-7  1.124E-7   6.356E-9   6.356E-9
  9.25  3.35E-7   1.933E-7   1.4533E-8  8.978E-9
  9.35  0         0          0          0
  9.45  2.108E-7  1.49E-7    1.2395E-8  9.111E-9
  9.55  2.11E-7   1.494E-7   7.484E-9   5.413E-9
  9.65  0         0          0          0
  9.75  0         0          0          0
  9.85  0         0          0          0
  9.95  0         0          0          0
 10.05  0         0          0          0
 10.15  0         0          0          0
 10.25  0         0          0          0
 10.35  0         0          0          0
 10.45  0         0          0          0
 10.55  0         0          0          0
 10.65  0         0          0          0
 10.75  0         0          0          0
 10.85  0         0          0          0
 10.95  0         0          0          0
 11.05  0         0          0          0
 11.15  0         0          0          0
 11.25  0         0          0          0
 11.35  0         0          0          0
 11.45  0         0          0          0
 11.55  0         0          0          0
 11.65  0         0          0          0
 11.75  0         0          0          0
 11.85  0         0          0          0
 11.95  0         0          0          0
 12.05  0         0          0          0
 12.15  0         0          0          0
 12.25  0         0          0          0
 12.35  0         0          0          0
 12.45  0         0          0          0
 12.55  0         0          0          0
 12.65  0         0          0          0
 12.75  0         0          0          0
 12.85  0         0          0          0
 12.95  0         0          0          0
 13.05  0         0          0          0
 13.15  0         0          0          0
 13.25  0         0          0          0
 13.35  0         0          0          0
 13.45  0         0          0          0
 13.55  0         0          0          0
 13.65  0         0          0          0
 13.75  0         0          0          0
 13.85  0         0          0          0
 13.95  0         0          0          0
 14.05  0         0          0          0
 14.15  0         0          0          0
 14.25  0         0          0          0
 14.35  0         0          0          0
 14.45  0         0          0          0
 14.55  0         0          0          0
 14.65  0         0          0          0
 14.75  0         0          0          0
 14.85  0         0          0          0
 14.95  0         0          0          0
 15.05  0         0          0          0
 15.15  0         0          0          0
 15.25  0         0          0          0
 15.35  0         0          0          0
 15.45  0         0          0          0
 15.55  0         0          0          0
 15.65  0         0          0          0
 15.75  0         0          0          0
 15.85  0         0          0          0
 15.95  0         0          0          0
 16.05  0         0          0          0
 16.15  0         0          0          0
 16.25  0         0          0          0
 16.35  0         0          0          0
 16.45  0         0          0          0
 16.55  0         0          0          0
 16.65  0         0          0          0
 16.75  0         0          0          0
 16.85  0         0          0          0
 16.95  0         0          0          0
 17.05  0         0          0          0
 17.15  0         0          0          0
 17.25  0         0          0          0
 17.35  0         0          0          0
 17.45  0         0          0          0
 17.55  0         0          0          0
 17.65  0         0          0          0
 17.75  0         0          0          0
 17.85  0         0          0          0
 17.95  0         0          0          0
 18.05  0         0          0          0
 18.15  0         0          0          0
 18.25  0         0          0          0
 18.35  0         0          0          0
 18.45  0         0          0          0
 18.55  0         0          0          0
 18.65  0         0          0          0
 18.75  0         0          0          0
 18.85  0         0          0          0
 18.95  0         0          0          0
 19.05  0         0          0          0
 19.15  0         0          0          0
 19.25  0         0          0          0
 19.35  0         0          0          0
 19.45  0         0          0          0
 19.55  0         0          0          0
 19.65  0         0          0          0
 19.75  0         0          0          0
 19.85  0         0          0          0
 19.95  0         0          0          0
 20.05  0         0          0          0
