   R      RHORPT      DRHORPT    RHORNT    DRHORNT
  9.85  5.4801E-9   2.8581E-9   2.73E-8   1.381E-8
  9.95  0           0           0         0
 10.05  1.6055E-9   1.6055E-9   6.27E-9   6.27E-9
 10.15  1.5728E-9   1.5728E-9   6.15E-9   6.15E-9
 10.25  2.6204E-9   1.8949E-9   1.252E-8  8.87E-9
 10.35  2.2264E-9   1.6045E-9   1.263E-8  8.98E-9
 10.45  0           0           0         0
 10.55  1.467E-9    1.1174E-9   1.284E-8  9.15E-9
 10.65  0           0           0         0
 10.75  8.268E-10   8.572E-10   6.06E-9   6.06E-9
 10.85  0           0           0         0
 10.95  4.9576E-9   3.1863E-9   1.495E-8  8.79E-9
 11.05  2.0006E-9   2.0006E-9   4.52E-9   4.52E-9
 11.15  1.2435E-9   9.056E-10   1.155E-8  8.17E-9
 11.25  8.737E-10   9.003E-10   5.41E-9   5.41E-9
 11.35  1.8113E-9   1.8287E-9   4.37E-9   4.37E-9
 11.45  0           0           0         0
 11.55  6.4894E-10  6.4894E-10  5.32E-9   5.32E-9
 11.65  0           0           0         0
 11.75  0           0           0         0
 11.85  0           0           0         0
 11.95  0           0           0         0
 12.05  0           0           0         0
 12.15  0           0           0         0
 12.25  0           0           0         0
 12.35  0           0           0         0
 12.45  0           0           0         0
 12.55  0           0           0         0
 12.65  0           0           0         0
 12.75  0           0           0         0
 12.85  0           0           0         0
 12.95  0           0           0         0
 13.05  0           0           0         0
 13.15  0           0           0         0
 13.25  0           0           0         0
 13.35  0           0           0         0
 13.45  0           0           0         0
 13.55  0           0           0         0
 13.65  0           0           0         0
 13.75  0           0           0         0
 13.85  0           0           0         0
 13.95  0           0           0         0
 14.05  0           0           0         0
 14.15  0           0           0         0
 14.25  0           0           0         0
 14.35  0           0           0         0
 14.45  0           0           0         0
 14.55  0           0           0         0
 14.65  0           0           0         0
 14.75  0           0           0         0
 14.85  0           0           0         0
 14.95  0           0           0         0
 15.05  0           0           0         0
 15.15  0           0           0         0
 15.25  0           0           0         0
 15.35  0           0           0         0
 15.45  0           0           0         0
 15.55  0           0           0         0
 15.65  0           0           0         0
 15.75  0           0           0         0
 15.85  0           0           0         0
 15.95  0           0           0         0
 16.05  0           0           0         0
 16.15  0           0           0         0
 16.25  0           0           0         0
 16.35  0           0           0         0
 16.45  0           0           0         0
 16.55  0           0           0         0
 16.65  0           0           0         0
 16.75  0           0           0         0
 16.85  0           0           0         0
 16.95  0           0           0         0
 17.05  0           0           0         0
 17.15  0           0           0         0
 17.25  0           0           0         0
 17.35  0           0           0         0
 17.45  0           0           0         0
 17.55  0           0           0         0
 17.65  0           0           0         0
 17.75  0           0           0         0
 17.85  0           0           0         0
 17.95  0           0           0         0
 18.05  0           0           0         0
 18.15  0           0           0         0
 18.25  0           0           0         0
 18.35  0           0           0         0
 18.45  0           0           0         0
 18.55  0           0           0         0
 18.65  0           0           0         0
 18.75  0           0           0         0
 18.85  0           0           0         0
 18.95  0           0           0         0
 19.05  0           0           0         0
 19.15  0           0           0         0
 19.25  0           0           0         0
 19.35  0           0           0         0
 19.45  0           0           0         0
 19.55  0           0           0         0
 19.65  0           0           0         0
 19.75  0           0           0         0
 19.85  0           0           0         0
 19.95  0           0           0         0
 20.05  0           0           0         0
