   R      RHORPP    DRHORPP   RHORNP    DRHORNP
 10.85  1.54E-8    1.54E-8   3.684E-8  3.684E-8
 10.95  8.11E-8    3.6E-8    2.357E-7  1.022E-7
 11.05  2.76E-8    2.14E-8   7.52E-8   5.33E-8
 11.15  8.85E-9    8.85E-9   4.63E-8   4.63E-8
 11.25  1.133E-8   1.133E-8  4.018E-8  4.018E-8
 11.35  2.35E-8    1.682E-8  7.66E-8   5.45E-8
 11.45  1.22E-8    1.22E-8   3.632E-8  3.632E-8
 11.55  1.172E-8   1.172E-8  3.623E-8  3.623E-8
 11.65  5.63E-8    3.61E-8   1.219E-7  7.51E-8
 11.75  2.262E-8   1.619E-8  7E-8      5.01E-8
 11.85  1.33E-8    1.33E-8   3.005E-8  3.005E-8
 11.95  1.416E-8   1.416E-8  2.745E-8  2.745E-8
 12.05  0          0         0         0
 12.15  0          0         0         0
 12.25  0          0         0         0
 12.35  0          0         0         0
 12.45  0          0         0         0
 12.55  0          0         0         0
 12.65  0          0         0         0
 12.75  0          0         0         0
 12.85  0          0         0         0
 12.95  0          0         0         0
 13.05  0          0         0         0
 13.15  0          0         0         0
 13.25  0          0         0         0
 13.35  0          0         0         0
 13.45  0          0         0         0
 13.55  0          0         0         0
 13.65  0          0         0         0
 13.75  0          0         0         0
 13.85  0          0         0         0
 13.95  0          0         0         0
 14.05  0          0         0         0
 14.15  0          0         0         0
 14.25  0          0         0         0
 14.35  0          0         0         0
 14.45  0          0         0         0
 14.55  0          0         0         0
 14.65  0          0         0         0
 14.75  0          0         0         0
 14.85  0          0         0         0
 14.95  0          0         0         0
 15.05  0          0         0         0
 15.15  0          0         0         0
 15.25  0          0         0         0
 15.35  0          0         0         0
 15.45  0          0         0         0
 15.55  0          0         0         0
 15.65  0          0         0         0
 15.75  0          0         0         0
 15.85  0          0         0         0
 15.95  0          0         0         0
 16.05  0          0         0         0
 16.15  0          0         0         0
 16.25  0          0         0         0
 16.35  0          0         0         0
 16.45  0          0         0         0
 16.55  0          0         0         0
 16.65  0          0         0         0
 16.75  0          0         0         0
 16.85  0          0         0         0
 16.95  0          0         0         0
 17.05  0          0         0         0
 17.15  0          0         0         0
 17.25  0          0         0         0
 17.35  0          0         0         0
 17.45  0          0         0         0
 17.55  0          0         0         0
 17.65  0          0         0         0
 17.75  0          0         0         0
 17.85  0          0         0         0
 17.95  0          0         0         0
 18.05  0          0         0         0
 18.15  0          0         0         0
 18.25  0          0         0         0
 18.35  0          0         0         0
 18.45  0          0         0         0
 18.55  0          0         0         0
 18.65  0          0         0         0
 18.75  0          0         0         0
 18.85  0          0         0         0
 18.95  0          0         0         0
 19.05  0          0         0         0
 19.15  0          0         0         0
 19.25  0          0         0         0
 19.35  0          0         0         0
 19.45  0          0         0         0
 19.55  0          0         0         0
 19.65  0          0         0         0
 19.75  0          0         0         0
 19.85  0          0         0         0
 19.95  0          0         0         0
 20.05  0          0         0         0
